

############################################### 
           Output = V18 
###############################################

###### Fitting Model #####

###### Calculating Meta-Model Estimate  ######

surface = mars 

Final Model: 1 2 3 4 5 6 7 8 9 10 11 12 13 14


###### Calculating Sensitivity Indices #####

###### Calculating CDF Estimate  ######


####### Output = V18 #######

#### surface = mars ####

Estimated Model Summary: 
Model: V18 = f(V8, V14, V3, V11, V13, V4, V16, V9, V7, V10, V6, V5, V12, V15)
Rsq = 1
dfmod = -1

Input	S.hat 	S.cum 	T.hat 	95% T CI 	p-val
V8	0.709 	0.709 	0.711 	(NA, NA)	NA 	
V14	0.196 	0.905 	0.197 	(NA, NA)	NA 	
V3	0.033 	0.938 	0.031 	(NA, NA)	NA 	
V11	0.028 	0.965 	0.021 	(NA, NA)	NA 	
V13	0.005 	0.971 	0.014 	(NA, NA)	NA 	
V4	0.017 	0.988 	0.010 	(NA, NA)	NA 	
V16	0.000 	0.988 	0.009 	(NA, NA)	NA 	
V9	0.006 	0.994 	0.006 	(NA, NA)	NA 	
V7	0.006 	1.000 	0.004 	(NA, NA)	NA 	
V10	0.000 	1.000 	0.004 	(NA, NA)	NA 	
V6	0.000 	1.000 	0.004 	(NA, NA)	NA 	
V5	0.000 	1.000 	0.001 	(NA, NA)	NA 	
V12	0.000 	1.000 	0.000 	(NA, NA)	NA 	
V15	0.000 	1.000 	0.000 	(NA, NA)	NA 	

