

############################################### 
           Output = V18 
###############################################

###### Fitting Model #####

###### Calculating Meta-Model Estimate  ######

surface = mars 

Final Model: 1 2 3 4 5 6 7 8 9 10 11 12 13 14


###### Calculating Sensitivity Indices #####

###### Calculating CDF Estimate  ######


####### Output = V18 #######

#### surface = mars ####

Estimated Model Summary: 
Model: V18 = f(V8, V14, V16, V11, V7, V12, V5, V9, V15, V3, V13, V4, V6, V10)
Rsq = 1
dfmod = -1

Input	S.hat 	S.cum 	T.hat 	95% T CI 	p-val
V8	0.689 	0.689 	0.706 	(NA, NA)	NA 	
V14	0.138 	0.827 	0.135 	(NA, NA)	NA 	
V16	0.072 	0.899 	0.065 	(NA, NA)	NA 	
V11	0.061 	0.960 	0.056 	(NA, NA)	NA 	
V7	0.005 	0.965 	0.017 	(NA, NA)	NA 	
V12	0.010 	0.975 	0.011 	(NA, NA)	NA 	
V5	0.000 	0.975 	0.009 	(NA, NA)	NA 	
V9	0.000 	0.975 	0.005 	(NA, NA)	NA 	
V15	0.005 	0.981 	0.002 	(NA, NA)	NA 	
V3	0.008 	0.989 	0.001 	(NA, NA)	NA 	
V13	0.000 	0.989 	0.000 	(NA, NA)	NA 	
V4	0.011 	1.000 	0.000 	(NA, NA)	NA 	
V6	0.000 	1.000 	0.000 	(NA, NA)	NA 	
V10	0.000 	1.000 	0.000 	(NA, NA)	NA 	

